GenAspId;ManSt;ManStSc;ManRu;ManRuSc;ManAg;ManAgSc;ManSoSt;ManSoStSc;ManHab;ManHabSc;ManTer;ManTerSc;ManTra;ManTraSc;ManFac;ManFacSc;NutFeed;NutFeedSc;NutCost;NutCostSc;RepSexMat;RepSexMatSc;RepNumbOff;RepNumbOffSc;RepCy;RepCySc;RepGestInc;RepGestIncSc;RepSexInt;RepSexIntSc;ProPopStu;ProPopStuSc;ProProf;ProProfSc;ProLong;ProLongSc;ProReL;ProReLSc;ProOpBre;ProOpBreSc;ProAddVal;ProAddValSc;MarCultAcc;MarCultAccSc;MarPri;MarPriSc;MarCompDom;MarCompDomSc;MarMarCha;MarMarChaSc;RegRest;RegRestSc
60;Low;3;High;3;High;1;Solitaire;1;Diurnal;1;Low;3;Simple;3;Simple;3;Omnivore;3;Low;3;Early;3;High;3;High;3;Short;3;Polygamy;1;Middle;2;Early;3;Short;1;Middle;2;Open cycle;1;No;0;Low;1;Low;3;Low;1;Yes;1;No;1
61;Low;3;High;3;High;1;Solitaire;1;Diurnal;1;Low;3;Simple;3;Simple;3;Nectarivorous (Imago), Saprophagous (Larva);1;Low;3;Early;3;High;3;High;3;Short;3;Polygamy;1;Middle;2;Early;3;Short;1;Middle;2;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
62;Middle;2;Middle;2;High;1;Solitaire;1;Diurnal;1;Middle;2;Middle;2;Simple;3;Saprophagous and animals mucous menbrane secretions;1;High;1;Early;3;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Mixed cycle;2;No;0;Low;1;Undetermined;0;Middle;2;No;0;No;1
63;Middle;2;High;3;High;1;Gregaroius;2;Diurnal;1;Middle;2;Middle;2;Middle;2;Omnivore;3;Low;3;Middle;2;Middle;2;Middle;2;Short;3;Polygamy;1;High;3;Middle;2;Middle;2;High;3;Closed Cycle;3;No;0;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
64;High;1;Low;1;Middle;2;Solitaire;1;Nocturnal;0;High;1;Difficult;1;Complex;1;Hematophagous;1;High;1;Middle;2;Low;1;Middle;2;Short;3;Polygamy;1;Low;1;Early;3;Middle;2;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;Yes;1;No;1
65;Middle;2;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Nectarivorous (Imago), Herbivorous (Larva);2;Low;3;Middle;2;Middle;2;Middle;2;Short;3;Polygamy;1;Middle;2;Middle;2;Middle;2;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;Yes;1;No;1
66;Low;3;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Nectarivorous (Imago), Herbivorous (Larva);2;Low;3;Middle;2;Middle;2;Middle;2;Short;3;Polygamy;1;Middle;2;Middle;2;Middle;2;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
67;High;1;High;3;High;1;Gregaroius;2;Diurnal;1;High;1;Difficult;1;Complex;1;Omnivore;3;Low;3;Middle;2;High;3;High;3;Short;3;Polygamy;1;Middle;2;Early;3;Middle;2;Low;1;Open cycle;1;No;0;Middle;2;Middle;2;Low;1;Yes;1;No;1
68;Middle;2;High;3;High;1;Gregaroius;2;Diurnal;1;Middle;2;Middle;2;Middle;2;Omnivore;3;Low;3;Late;1;Low;1;Middle;2;Short;3;Polygamy;1;High;3;Middle;2;Middle;2;Low;1;Mixed cycle;2;Yes;1;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
69;Middle;2;Low;1;High;1;Gregaroius;2;Nocturnal;0;Middle;2;Simple;3;Middle;2;Hematophagous;1;High;1;Early;3;Middle;2;High;3;Short;3;Polygamy;1;Low;1;Early;3;Short;1;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
70;Middle;2;Middle;2;High;1;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Phytofagous;2;High;1;Middle;2;Middle;2;High;3;Short;3;Polygamy;1;Low;1;Early;3;Middle;2;Middle;2;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;Yes;1;No;1
71;Middle;2;Middle;2;High;1;Gregaroius;2;Diurnal;1;High;1;Difficult;1;Complex;1;Omnivore;3;Low;3;Middle;2;Middle;2;Middle;2;Short;3;Polygamy;1;High;3;Middle;2;Middle;2;High;3;Open cycle;1;Yes;1;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
72;High;1;High;3;High;1;Cologne;3;Diurnal;1;High;1;Difficult;1;Complex;1;Wood;2;High;1;Late;1;High;3;High;3;Short;3;Polygamy;1;High;3;Late;1;Short;1;High;3;Mixed cycle;2;Yes;1;Middle;2;Low;3;Low;1;Yes;1;No;1
73;High;1;High;3;High;1;Gregaroius;2;Diurnal;1;High;1;Difficult;1;Complex;1;Omnivore;3;Low;3;Late;1;Middle;2;Middle;2;Short;3;Polygamy;1;High;3;Middle;2;Middle;2;High;3;Mixed cycle;2;Yes;1;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
74;High;1;High;3;High;1;Gregaroius;2;Diurnal;1;High;1;Difficult;1;Complex;1;Herbivorous;2;Middle;2;Late;1;Middle;2;Middle;2;Short;3;Polygamy;1;High;3;Middle;2;Middle;2;High;3;Closed Cycle;3;Yes;1;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
75;Middle;2;Low;1;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Difficult;1;Complex;1;Herbivorous;2;Middle;2;Late;1;Middle;2;Middle;2;Short;3;Polygamy;1;Middle;2;Middle;2;Middle;2;Middle;2;Open cycle;1;Yes;1;Middle;2;Low;3;Low;1;Yes;1;No;1
76;Middle;2;High;3;High;1;Gregaroius;2;Diurnal;1;High;1;Difficult;1;Complex;1;Herbivorous;2;Middle;2;Late;1;Middle;2;Middle;2;Short;3;Polygamy;1;Middle;2;Middle;2;Middle;2;Low;1;Mixed cycle;2;Yes;1;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
77;Middle;2;Middle;2;Middle;2;Solitaire;1;Diurnal;1;Middle;2;Middle;2;Middle;2;Herbivorous;2;Middle;2;Late;1;Low;1;Low;1;Short;3;Monogamy;0;Middle;2;Early;3;Long;3;Middle;2;Mixed cycle;2;Yes;1;Middle;2;Low;3;Low;1;Yes;1;No;1
78;Middle;2;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Xilophage;2;High;1;Middle;2;Low;1;Middle;2;Short;3;Polygamy;1;Middle;2;Early;3;Middle;2;High;3;Mixed cycle;2;Yes;1;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
79;High;1;High;3;Middle;2;Gregaroius;2;Diurnal;1;High;1;Simple;3;Middle;2;Carnivorous;1;High;1;Middle;2;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Mixed cycle;2;No;0;High;3;Low;3;Low;1;Yes;1;No;1
80;High;1;High;3;High;1;Cologne;3;Diurnal;1;High;1;Difficult;1;Complex;1;Omnivore;3;Low;3;Middle;2;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Open cycle;1;Yes;1;High;3;Middle;2;Low;1;Yes;1;No;1
81;Middle;2;Low;1;Middle;2;Gregaroius;2;Nocturnal;0;Low;3;Simple;3;Middle;2;Carnivorous (larva);3;Middle;2;Late;1;Low;1;Low;1;Short;3;Polygamy;1;Low;1;Late;1;Long;3;Low;1;Open cycle;1;No;0;High;3;Middle;2;Low;1;Yes;1;No;1
82;Middle;2;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;Low;3;Middle;2;Middle;2;Herbivorous;2;Middle;2;Late;1;Middle;2;Low;1;Short;3;Polygamy;1;Middle;2;Early;3;Middle;2;Middle;2;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
83;High;1;High;3;High;1;Cologne;3;Diurnal;1;High;1;Difficult;1;Complex;1;Aphid honeydew;1;High;1;Late;1;Middle;2;High;3;Short;3;Polygamy;1;Middle;2;Early;3;Short;1;Middle;2;Open cycle;1;Yes;1;Middle;2;Undetermined;0;Low;1;No;0;No;1
84;High;1;High;3;High;1;Cologne;3;Diurnal;1;High;1;Difficult;1;Complex;1;Omnivore;3;Low;3;Late;1;Middle;2;High;3;Short;3;Polygamy;1;Middle;2;Early;3;Short;1;Middle;2;Open cycle;1;Yes;1;Middle;2;Middle;2;Low;1;No;0;No;1
85;Middle;2;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Herbivorous;2;Middle;2;Late;1;Low;1;Low;1;Middle;2;Polygamy;1;Low;1;Late;1;Middle;2;Low;1;Open cycle;1;No;0;Middle;2;Undetermined;0;Low;1;No;0;No;1
86;Middle;2;High;3;High;1;Gregaroius;2;Nocturnal;0;Middle;2;Middle;2;Middle;2;Omnivore;3;Low;3;Late;1;Low;1;Low;1;Short;3;Polygamy;1;Low;1;Late;1;Long;3;Low;1;Open cycle;1;Yes;1;Middle;2;Undetermined;0;Low;1;No;0;No;1
87;Low;3;Low;1;Low;3;Solitaire;1;Nocturnal;0;High;1;Middle;2;Complex;1;Xilophage;2;High;1;Late;1;Middle;2;Low;1;Short;3;Polygamy;1;Low;1;Late;1;Long;3;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
88;Low;3;High;3;High;1;Gregaroius;2;Nocturnal;0;Low;3;Simple;3;Simple;3;Omnivore/ detrimental;3;High;1;Early;3;High;3;High;3;Middle;2;Polygamy;1;Low;1;Early;3;Middle;2;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
89;Middle;2;High;3;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Simple;3;Decomposing organig matter (Larva), Fruits (Adult);3;High;1;Middle;2;High;3;Middle;2;Short;3;Polygamy;1;Low;1;Early;3;Long;3;Low;1;Open cycle;1;No;0;Middle;2;High;1;Low;1;No;0;No;1
90;Middle;2;Low;1;Middle;2;Solitaire;1;Nocturnal;0;High;1;Middle;2;Complex;1;Predators (larva), Sugary substances (Adult);1;High;1;Middle;2;Low;1;Middle;2;Short;3;Polygamy;1;Low;1;Late;1;Middle;2;Low;1;Open cycle;1;No;0;Low;1;High;1;Low;1;No;0;No;1
91;Middle;2;Low;1;Middle;2;Gregaroius;2;Diurnal;1;Middle;2;Difficult;1;Complex;1;Nectarivorous (Imago), Herbivorous (Larva);2;Middle;2;Late;1;Low;1;Middle;2;Short;3;Polygamy;1;High;3;Late;1;Middle;2;High;3;Mixed cycle;2;Yes;1;High;3;High;1;Low;1;Yes;1;No;1
92;Middle;2;Middle;2;High;1;Gregaroius;2;Diurnal;1;Middle;2;Middle;2;Middle;2;Mucous tissues (Parasitism);1;High;1;Early;3;High;3;High;3;Short;3;Polygamy;1;Low;1;Early;3;Short;1;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
93;Middle;2;Middle;2;High;1;Gregaroius;2;Diurnal;1;Middle;2;Middle;2;Middle;2;Mucous tissues (Parasitism);1;High;1;Early;3;High;3;High;3;Short;3;Polygamy;1;Low;1;Early;3;Short;1;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
94;Low;3;High;3;Middle;2;Gregaroius;2;Nocturnal;0;Low;3;Simple;3;Simple;3;Herbivorous;2;Middle;2;Middle;2;High;3;Middle;2;Short;3;Polygamy;1;Low;1;Early;3;Long;3;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
95;Middle;2;High;3;Middle;2;Solitaire;1;Nocturnal;0;High;1;Middle;2;Middle;2;Xilophage;2;High;1;Late;1;Middle;2;Low;1;Short;3;Polygamy;1;Low;1;Early;3;Middle;2;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
96;Middle;2;Middle;2;Middle;2;Gregaroius;2;Nocturnal;0;Middle;2;Middle;2;Complex;1;Herbivorous;2;Middle;2;Middle;2;Middle;2;Middle;2;Short;3;Polygamy;1;Middle;2;Early;3;Middle;2;Middle;2;Mixed cycle;2;Yes;1;Middle;2;High;1;Middle;2;Yes;1;No;1
97;Low;3;High;3;Middle;2;Gregaroius;2;Nocturnal;0;Middle;2;Simple;3;Simple;3;Omnivore;3;Low;3;Middle;2;Middle;2;High;3;Short;3;Polygamy;1;Low;1;Early;3;Middle;2;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
98;Low;3;High;3;Low;3;Gregaroius;2;Diurnal;1;Low;3;Simple;3;Simple;3;Manure and carrion;3;Low;3;Middle;2;Middle;2;Low;1;Short;3;Polygamy;1;Middle;2;Early;3;Short;1;Middle;2;Mixed cycle;2;Yes;1;Middle;2;Middle;2;Low;1;No;0;No;1
99;Middle;2;High;3;Middle;2;Gregaroius;2;Nocturnal;0;Middle;2;Middle;2;Middle;2;Roots;1;High;1;Middle;2;Middle;2;Low;1;Short;3;Polygamy;1;Middle;2;Early;3;Long;3;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
100;High;1;High;3;Middle;2;Solitaire;1;Nocturnal;0;High;1;Difficult;1;Complex;1;Xilophage;2;High;1;Late;1;Middle;2;Low;1;Short;3;Polygamy;1;Low;1;Early;3;Long;3;Low;1;Open cycle;1;No;0;Low;1;High;1;Low;1;No;0;No;1
101;Low;3;High;3;Low;3;Solitaire;1;Nocturnal;0;High;1;Difficult;1;Complex;1;Folivorous;2;High;1;Late;1;Low;1;Low;1;Short;3;Polygamy;1;Low;1;Late;1;Long;3;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
102;Low;3;High;3;High;1;Gregaroius;2;Nocturnal;0;Low;3;Simple;3;Simple;3;Omnivore/ detrimental;3;Low;3;Early;3;High;3;High;3;Middle;2;Polygamy;1;High;3;Late;1;Middle;2;High;3;Mixed cycle;2;Yes;1;Low;1;Low;3;Low;1;Yes;1;No;1
103;Low;3;High;3;High;1;Solitaire;1;Diurnal;1;Low;3;Simple;3;Simple;3;Omnivore;3;Low;3;Early;3;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Mixed cycle;2;Yes;1;Low;1;Low;3;Middle;2;Yes;1;No;1
104;High;1;High;3;High;1;Cologne;3;Diurnal;1;High;1;Difficult;1;Complex;1;Nectarivorous;2;Low;3;Middle;2;Middle;2;High;3;Short;3;Polygamy;1;High;3;Late;1;Middle;2;High;3;Closed Cycle;3;Yes;1;High;3;Middle;2;Middle;2;Yes;1;No;1
105;High;1;Middle;2;High;1;Cologne;3;Diurnal;1;High;1;Difficult;1;Complex;1;Nectarivorous;2;Low;3;Middle;2;High;3;High;3;Short;3;Polygamy;1;High;3;Late;1;Short;1;Low;1;Closed Cycle;3;Yes;1;High;3;Middle;2;High;3;Yes;1;No;1
106;High;1;Middle;2;High;1;Cologne;3;Diurnal;1;High;1;Difficult;1;Complex;1;Nectarivorous;2;Low;3;Middle;2;High;3;High;3;Short;3;Polygamy;1;High;3;Late;1;Short;1;Low;1;Closed Cycle;3;Yes;1;High;3;Middle;2;High;3;Yes;1;No;1
107;High;1;High;3;High;1;Solitaire;1;Diurnal;1;Low;3;Simple;3;Complex;1;Hematophagous;1;High;1;Early;3;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
108;High;1;High;3;High;1;Solitaire;1;Nocturnal;0;Low;3;Simple;3;Complex;1;Hematophagous;1;High;1;Early;3;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
109;High;1;High;3;High;1;Gregaroius;2;Diurnal;1;High;1;Simple;3;Complex;1;Hematophagous;1;High;1;Early;3;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
110;High;1;High;3;High;1;Gregaroius;2;Diurnal;1;High;1;Simple;3;Complex;1;Hematophagous;1;High;1;Early;3;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
111;High;1;High;3;High;1;Solitaire;1;Nocturnal;0;High;1;Middle;2;Complex;1;Hematophagous;1;High;1;Middle;2;Middle;2;Middle;2;Short;3;Polygamy;1;High;3;Early;3;Middle;2;High;3;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
112;Middle;2;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Storage;1;High;1;Late;1;Low;1;Low;1;Short;3;Polygamy;1;High;3;Early;3;Middle;2;High;3;Mixed cycle;2;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
113;Middle;2;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Storage;1;High;1;Late;1;Low;1;High;3;Short;3;Polygamy;1;High;3;Early;3;Middle;2;High;3;Mixed cycle;2;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
114;Middle;2;High;3;Middle;2;Gregaroius;2;Nocturnal;0;Middle;2;Simple;3;Middle;2;Storage;1;High;1;Early;3;Middle;2;High;3;Short;3;Polygamy;1;High;3;Early;3;Middle;2;High;3;Mixed cycle;2;No;0;Low;1;Low;3;Low;1;Yes;1;No;1
115;Middle;2;High;3;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Roots;1;High;1;Middle;2;Middle;2;Middle;2;Middle;2;Polygamy;1;Middle;2;Early;3;Middle;2;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
116;High;1;High;3;Low;3;Gregaroius;2;Diurnal;1;High;1;Simple;3;Complex;1;Hematophagous;1;High;1;Early;3;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
117;High;1;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;High;1;Middle;2;Complex;1;Herbivorous;2;Middle;2;Early;3;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
118;High;1;High;3;High;1;Gregaroius;2;Nocturnal;0;High;1;Middle;2;Complex;1;Hematophagous;1;High;1;Middle;2;Middle;2;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
119;Middle;2;High;3;Middle;2;Gregaroius;2;Diurnal;1;Middle;2;Simple;3;Complex;1;Phytofagous;1;High;1;Early;3;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;Middle;2;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
120;Middle;2;High;3;Middle;2;Solitaire;1;Nocturnal;0;High;1;Middle;2;Complex;1;Phytofagous;1;High;1;Middle;2;High;3;High;3;Short;3;Polygamy;1;Low;1;Early;3;Middle;2;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
